動物名稱,禹晴,品薰,國展,彼得兔,婷妤,宥任,本豫,雅茹,宇昕,倚捷,芷嫻,紹安,明憲,潁叡,芷綾,鈞磊,唯翔,洧宏,宸妤,子欣,昀潼,詩偉,子玄,昱愷
Alligator 鱷魚,1,1,1,1,1,4,1,3,1,3,1,1,1,6,1,1,1,1,1,4,1,1,1,2
Bear 熊,2,2,2,2,2,4,2,1,1,1,2,2,6,7,2,2,2,2,2,1,2,1,2,1
Camel 駱駝,3,3,3,3,3,1,3,1,2,1,3,3,4,3,3,3,3,2,2,2,2,2,3,1
Cat 貓,4,4,4,4,4,5,2,1,3,1,4,2,5,1,4,4,4,2,2,2,3,3,4,1
Cheetah 印度豹,2,4,5,2,3,4,4,1,5,1,5,2,5,6,2,2,5,2,2,1,2,1,2,1
Chicken 雞,3,5,6,4,5,2,5,2,4,2,6,4,2,2,4,5,4,2,3,3,4,4,4,4
Chimpanzee 猩猩,2,2,2,2,2,4,6,1,1,1,7,5,6,4,3,6,2,2,2,6,2,1,2,1
Cow 乳牛,2,5,7,3,6,1,3,1,4,1,6,3,4,3,4,3,3,2,2,2,2,4,3,1
Crane 鶴,3,6,6,5,5,2,5,2,3,2,8,4,3,5,3,5,6,3,3,3,4,4,5,4
Crow 烏鴉,3,6,6,6,5,2,5,2,3,2,8,4,3,5,3,5,7,3,3,3,4,5,5,5
Dog 狗,4,4,4,4,4,5,2,1,3,1,4,2,4,1,4,4,4,2,3,2,3,3,4,1
Duck 鴨,3,5,6,4,5,2,5,2,4,2,6,4,2,2,4,5,6,1,3,3,4,4,4,2
Elephant 大象,2,2,7,3,3,1,3,1,5,1,9,3,4,8,3,3,3,2,2,5,2,1,3,1
Fox 狐狸,2,4,4,4,6,4,2,1,2,1,3,2,6,7,3,2,4,2,2,1,3,2,4,1
Frog 青蛙,5,1,8,4,1,5,7,4,3,4,1,6,1,6,1,1,1,1,4,7,1,5,1,2
Giraffe 長頸鹿,2,2,3,3,3,1,3,1,5,1,9,3,4,8,3,3,3,2,2,5,2,1,3,1
Goat 羊,2,2,3,2,6,2,3,1,4,1,6,3,4,2,4,3,3,2,2,2,3,4,4,1
Hawk 鷹,3,6,6,6,5,2,5,2,5,2,3,4,3,5,3,5,7,3,3,3,4,5,5,5
Hippopotamus 河馬,2,1,7,1,7,1,3,1,1,1,9,3,4,8,3,3,1,1,2,5,2,1,1,1
Horse 馬,2,2,3,3,6,1,3,1,5,1,10,3,4,3,4,3,3,2,2,2,2,1,3,1
Leopard 美洲豹,2,4,5,3,3,4,4,1,5,1,5,2,5,6,2,2,5,2,2,1,2,1,2,1
Lion 獅子,2,2,5,3,3,4,4,1,5,1,5,2,5,6,2,2,3,2,2,1,2,1,2,1
Lizard 蜥蜴,5,7,8,7,1,5,1,3,1,3,1,1,1,7,1,1,1,2,1,4,1,5,6,3
Monkey 猴子,2,2,2,2,2,1,6,1,1,1,7,5,4,4,3,6,2,2,2,6,3,5,4,3
Ostrich 鴕鳥,3,2,6,5,5,2,5,2,5,2,9,4,2,8,3,5,6,2,3,3,4,2,3,4
Pig 豬,2,5,7,4,6,5,3,1,4,1,6,3,4,2,4,4,4,2,2,2,2,4,4,1
Pigeon 鴿子,3,6,6,6,5,2,5,2,4,2,8,4,3,5,3,5,6,3,3,3,4,5,5,5
Rabbit 兔子,4,5,4,4,4,5,8,1,3,1,11,3,4,8,4,4,4,2,2,2,3,3,4,1
Racoon 浣熊,4,2,7,4,2,1,2,1,1,1,11,2,7,7,3,7,3,2,2,1,3,3,4,1
Rhinoceros 犀牛,2,1,7,1,7,1,3,1,1,1,9,3,4,8,3,3,3,2,2,5,2,1,2,1
Snake 蛇,5,2,8,7,1,3,1,3,1,3,1,1,1,6,4,1,1,2,1,4,1,5,6,3
Sparrow 麻雀,3,6,6,6,5,2,5,2,3,2,8,4,3,5,3,5,7,3,3,3,4,3,5,5
Tiger 老虎,2,2,5,3,3,4,4,1,5,1,5,2,5,6,2,2,5,2,2,1,2,1,2,1
Tortoise 烏龜,5,1,3,1,1,5,1,3,3,3,1,6,1,1,1,1,4,2,1,4,1,3,4,2
Turkey 火雞,3,5,6,4,5,2,5,2,4,2,6,4,2,2,4,5,4,2,3,3,4,4,4,1
